,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Elizabeth,1,US,1562173201,55,39.31,-74.98,91.0,5.82
1,Sao Joao da Barra,0,BR,1562173204,40,-21.64,-41.05,87.8,6.93
2,Pevek,100,RU,1562173206,99,69.7,170.27,33.02,6.82
3,Touros,75,BR,1562173208,74,-5.2,-35.46,82.4,13.87
4,Pacific Grove,90,US,1562173104,72,36.62,-121.92,63.0,9.44
5,Vila Franca do Campo,20,PT,1562173210,73,37.72,-25.43,71.6,14.99
6,Krasnyy Chikoy,90,RU,1562173211,88,50.36,108.75,58.22,2.75
7,Hilo,90,US,1562173213,78,19.71,-155.08,71.6,5.82
8,Bathsheba,0,BB,1562173184,79,13.22,-59.52,81.44,18.1
9,Ribeira Grande,40,PT,1562173203,69,38.52,-28.7,75.2,10.29
10,Yellowknife,75,CA,1562173216,76,62.45,-114.38,53.6,14.99
11,Jamestown,3,AU,1562172992,90,-33.21,138.6,44.72,7.58
12,Muros,20,ES,1562173065,65,42.77,-9.06,82.99,11.41
13,Hobart,0,AU,1562173066,86,-42.88,147.33,42.01,9.17
14,Butaritari,2,KI,1562173221,70,3.07,172.79,83.42,2.64
15,Ushuaia,0,AR,1562173222,86,-54.81,-68.31,30.2,8.05
16,Hithadhoo,48,MV,1562173223,78,-0.6,73.08,83.78,14.14
17,Port Alfred,0,ZA,1562173224,87,-33.59,26.89,60.01,3.0
18,Albany,1,US,1562173186,48,42.65,-73.75,88.0,3.36
19,Katsuura,75,JP,1562173226,94,33.93,134.5,72.0,9.17
20,New Norfolk,0,AU,1562173228,86,-42.78,147.06,42.01,9.17
21,Bambous Virieux,75,MU,1562173229,94,-20.34,57.76,69.8,5.82
22,Lethem,96,GY,1562173230,78,3.38,-59.8,79.1,11.61
23,Saskylakh,100,RU,1562173231,73,71.97,114.09,49.58,6.2
24,Souillac,0,FR,1562173233,43,45.6,-0.6,87.8,13.87
25,Ponta do Sol,13,BR,1562173234,37,-20.63,-46.0,76.58,10.71
26,Tasiilaq,90,GL,1562173235,81,65.61,-37.64,46.4,4.7
27,Rome,0,IT,1562173049,35,41.89,12.48,96.01,8.05
28,Seoul,1,KR,1562173017,93,37.57,126.98,69.8,2.24
29,Guozhen,100,CN,1562173238,72,29.3,113.14,77.48,4.56
30,Zyryanovsk,60,KZ,1562173240,82,49.74,84.27,54.62,3.87
31,Ishimbay,0,RU,1562173241,92,53.45,56.04,58.58,5.59
32,Ushtobe,97,KZ,1562173242,57,45.25,77.98,72.26,9.13
33,Saint George,0,GR,1562173243,27,39.45,22.34,96.8,8.05
34,Khatanga,100,RU,1562173244,91,71.98,102.47,50.84,9.44
35,Pochutla,75,MX,1562173009,52,15.74,-96.47,91.0,4.45
36,Grua,75,AT,1562173247,88,46.83,14.22,69.8,3.36
37,Carnarvon,0,ZA,1562173248,34,-30.97,22.13,49.58,6.31
38,Palana,1,RU,1562173249,77,59.08,159.95,47.42,17.9
39,Provideniya,0,RU,1562173250,72,64.42,-173.23,51.38,4.18
40,Avarua,0,CK,1562173121,49,-21.21,-159.78,71.6,9.17
41,Datong,0,CN,1562173253,23,40.09,113.3,72.44,3.8
42,Saint-Augustin,20,CA,1562173254,51,45.63,-73.98,88.0,5.82
43,Bluff,4,AU,1562173228,87,-23.58,149.07,57.32,10.76
44,Busselton,92,AU,1562173256,45,-33.64,115.35,61.0,26.62
45,Yulara,0,AU,1562173258,29,-25.24,130.99,50.0,9.17
46,Mataura,60,NZ,1562173259,84,-46.19,168.86,46.99,4.0
47,Punta Arenas,75,CL,1562173260,86,-53.16,-70.91,33.8,8.05
48,Rikitea,100,PF,1562173261,81,-23.12,-134.97,63.98,18.72
49,Coahuayana,100,MX,1562173262,64,18.62,-100.35,86.3,1.41
50,Mayo,40,CA,1562173264,63,63.59,-135.9,60.8,3.36
51,Cherskiy,54,RU,1562172991,73,68.75,161.3,42.74,7.02
52,Atuona,20,PF,1562173266,66,-9.8,-139.03,80.36,9.86
53,Barrow,68,AR,1562173267,57,-38.31,-60.23,45.08,20.09
54,Samana,20,EC,1562173268,66,0.12,-76.97,84.2,5.82
55,Hermanus,0,ZA,1562173270,83,-34.42,19.24,59.0,1.99
56,Kirakira,83,SB,1562173271,88,-10.46,161.92,77.84,15.43
